gene,start,end,strand,product
ilvH,138881,139372,,acetolactate synthase small subunit
cra,139656,140660,,catabolite repressor/activator
mraZ,141266,141724,,division/cell wall cluster transcriptional repressor MraZ
rsmH,141726,142667,,ribosomal RNA small subunit methyltransferase H
ftsL,142664,143029,,cell division protein FtsL
ftsI,143045,144811,,penicillin-binding protein 3
murE,144798,146285,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase"
murF,146282,147640,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
mraY,147634,148716,,phospho-N-acetylmuramoyl-pentapeptide- transferase
murD,148719,150035,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
ftsW,150035,151279,,cell division protein FtsW
murG,151276,152343,,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
murC,152462,153937,,UDP-N-acetylmuramate--L-alanine ligase
ddl,153930,154850,,D-alanine--D-alanine ligase B (DdlB)
ftsQ,154852,155682,,cell division protein FtsQ
ftsA,155679,156941,,cell division protein FtsA
ftsZ,157002,158153,,cell division protein FtsZ
lpxC,158254,159171,,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosaminedeacetylase
secM,159450,159947,,SecA regulator SecM
secA,160009,162714,,protein translocase subunit SecA
mutT,162866,163261,,8-oxo-dGTP diphosphatase
B0X74_02280,163295,163429,c,uncharacterized protein
yacG,163583,163774,c,DNA gyrase inhibitor YacG
zapD,163784,164527,c,cell division protein ZapD
coaE,164527,165147,c,dephospho-CoA kinase
guaC,165373,166416,,guanosine monophosphate reductase
hofC,166447,167649,c,type IV pilin biogenesis protein
hofB,167639,169024,c,"type IV fimbrial assembly, ATPase PilB"
ppdD,169034,169471,c,prepilin peptidase dependent protein D
B0X74_02325,169497,169679,c,uncharacterized protein
nadC,169693,170586,c,nicotinate-nucleotide pyrophosphorylase [carboxylating]
ampD,170674,171237,,N-acetylmuramoyl-L-alanine amidase
ampE,171234,172088,,beta-lactamase regulator AmpE
B0X74_02345,172180,173130,c,alpha-N-arabinofuranosidase
yicJ2,173130,174536,c,MelB family sugar transporter
aroP,174700,176070,c,aromatic amino acid transporter AroP
pdhR,176636,177400,,pyruvate dehydrogenase complex repressor
aceE,177560,180223,,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
aceF,180238,182127,,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase AceF
lpdA,182327,183751,,dihydrolipoyl dehydrogenase
B0X74_02380,184040,184324,,outer membrane protein
B0X74_02385,184362,185153,c,DUF2950 domain protein
yacH,185166,186788,c,DUF3300 domain protein
acnB,187177,189774,,aconitate hydratase B
B0X74_02400,189835,190677,c,HNH endonuclease
yacL,190923,191285,,UPF0231 family protein
kdgT,191520,192473,,2-keto-3-deoxygluconate permease 1
dtnK,192470,193741,,D-threonate kinase DtnK (YgbK)
pdxA2,193731,194714,,D-threonate 4-phosphate dehydrogenase
B0X74_02425,194724,195491,,DeoR/GlpR family transcriptional regulator
speD,195521,196315,c,S-adenosylmethionine decarboxylase proenzyme
speE,196336,197196,c,polyamine aminopropyltransferase
yacC,197303,197650,c,PulS_OutS family protein YacC
cueO,197852,199462,,blue copper oxidase CueO precursor / multicopper oxidase
gcd,199540,201930,c,"membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family"
hpt,202136,202672,,hypoxanthine phosphoribosyltransferase
can,202730,203392,c,carbonate dehydratase
yadG,203501,204427,,multidrug ABC transporter ATP-binding protein YadG
yadH,204424,205194,,putative ABC transporter permease YadH
stiH,205311,206390,c,putative fimbrial protein StiH
stiC,206399,208945,c,fimbrial outer membrane usher protein StiC
stiB,208972,209655,c,long polar fimbrial chaperone StiB
stiA,209703,210242,c,fimbrial protein StiA
yadI,210612,211052,,PTS sugar transporter subunit IIA
yadE,211120,212343,,polysaccharide deacetylase-like protein YadE
panD,212350,212730,c,aspartate 1-decarboxylase
panC,212825,213679,c,pantoate--beta-alanine ligase
panB,213805,214596,c,3-methyl-2-oxobutanoate hydroxymethyltransferase
folK,214717,215196,c,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
pcnB,215193,216611,c,polynucleotide adenylyltransferase PcnB
gluQ,216752,217648,c,tRNA glutamyl-Q(34) synthetase GluQRS
dksA,217717,218172,c,RNA polymerase-binding transcription factor DksA
sfsA,218349,219053,c,sugar fermentation stimulation protein SfsA
ligT,219070,219600,c,2'-5' RNA ligase
hrpB,219661,222102,,ATP-dependent helicase
mrcB,222243,224765,,penicillin-binding protein 1B
fhuA,225058,227247,,ferrichrome porin FhuA
fhuC,227296,228093,,iron-hydroxamate transporter ATP-binding subunit FhuC
fhuD,228093,228983,,Iron(3+)-hydroxamate-binding protein FhuD
fhuB,228980,231037,,iron(3+)-hydroxamate import system permease FhuB
B0X74_02585,231074,231280,,uncharacterized protein
stfA,231977,232537,,fimbrial protein StfA
stfC,232623,235280,,outer membrane usher protein StfC
stfD,235298,236050,,fimbrial protein StfD
stfE,236069,236581,,fimbrial protein StfE
stfF,236578,237054,,fimbrial protein StfF
stfG,237054,237584,,fimbrial protein StfG
stfH,237584,238423,,uncharacterized protein YadU in stf fimbrial cluster
hemL,238531,239811,c,"glutamate-1-semialdehyde 2,1-aminomutase"
clcA,239981,241402,,ClC family H(+)/Cl(-) exchange transporter
erpA,241484,241828,,iron-sulfur cluster insertion protein ErpA
yadS,241929,242552,c,UPF0126 inner membrane protein YadS
btuF,242589,243389,c,cobalamin-binding protein
mtnN,243382,244080,c,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
dgt,244165,245682,,deoxyguanosinetriphosphate triphosphohydrolase
degP,245812,247239,,periplasmic serine endoprotease DegP
cdaR,247392,248549,,carbohydrate diacid regulon transcriptional regulator CdaR
yaeH,248638,249024,c,DUF3461 domain protein YaeH
shiA,249271,250572,,putative shikimate transporter
dapD,250609,251433,c,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
glnD,251463,254135,c,bifunctional uridylyltransferase/uridylyl-removing protein
map,254372,255166,c,methionine aminopeptidase
rpsB,255617,256342,,30S ribosomal protein S2
tsf,256600,257451,,elongation factor Ts
pyrH,257596,258321,,UMP kinase
frr,258468,259025,,ribosome-recycling factor
dxr,259166,260362,,1-deoxy-D-xylulose-5-phosphate reductoisomerase
B0X74_02725,260445,260648,,uncharacterized protein
uppS,260675,261433,,"ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
cdsA,261446,262303,,phosphatidate cytidylyltransferase
rseP,262315,263667,,zinc metallopeptidase RseP
bamA,263699,266113,,outer membrane protein assembly factor BamA
skp,266236,266721,,chaperone protein Skp
lpxD,266725,267750,,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (LpxD)
fabZ,267856,268311,,beta-hydroxyacyl-ACP dehydratase
lpxA,268315,269103,,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
lpxB,269103,270251,,lipid-A-disaccharide synthase
rnhB,270248,270844,,ribonuclease HII
dnaE,270868,274350,,DNA polymerase III subunit alpha
accA,274363,275322,,acetyl-CoA carboxylase carboxyltransferase subunit alpha
B0X74_02790,275502,277265,,putative chitinase
ldcC,277340,279481,,lysine decarboxylase LdcC
yaeR,279537,279926,,putative lyase
tilS,279989,281281,,tRNA lysidine(34) synthetase TilS
rof,281365,281619,c,Rho-binding antiterminator
yaeP,281612,281830,c,UPF0253 family protein YaeP
yaeQ,282010,282555,,COG4681 family protein YaeQ
arfB,282552,282974,,aminoacyl-tRNA hydrolase
cutF,283006,283707,,copper homeostasis protein CutF precursor / Lipoprotein NlpE involved in surface adhesion
proS,283781,285499,c,proline--tRNA ligase
tsaA,285610,286317,c,tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase
rcsF,286314,286718,c,Rcs stress response system protein RcsF
metQ,286837,287652,c,methionine ABC transporter substrate-binding protein MetQ
metI,287691,288344,c,methionine ABC transporter
metN,288337,289368,c,methionine import ATP-binding protein MetN 1
gmhB,289558,290124,,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
B0X74_02870,290225,290446,,uncharacterized protein
dkgB,296277,297080,,"2,5-didehydrogluconate reductase B"
yafC,297101,298015,c,LysR family transcriptional regulator YafC
ydhP,298120,299295,,"putative arabinose efflux permease, MFS family"
yafD,299427,300227,,EEP domain-containing protein
yafE,300305,301075,,SAM-dependent methyltransferase YafE
mltD,301131,302498,c,membrane-bound lytic murein transglycosylase D
gloB,302570,303325,c,hydroxyacylglutathione hydrolase
yafS,303360,304082,,SAM-dependent methyltransferase
rnhA,304079,304546,c,ribonuclease HI
dnaQ,304610,305341,,DNA polymerase III subunit epsilon
sciA,305873,306928,c,"type VI secretion-associated protein, ImpA family"
sciB,306939,307934,c,type VI protein secretion system protein SciB
sciC,307931,309814,c,type VI secretion protein
sciD,309830,310324,c,type VI secretion system COG3518 family protein
sciE,310321,311145,c,ImpE family protein SciE
sciF,311132,312034,c,SPI-6 associated protein SciF
sciG,312402,315041,,ClpV1 family T6SS ATPase SciG
sciH,315141,315683,,type VI secretion system-associated protein SciH
sciI,315707,317215,,EvpB family type VI secretion protein SciI
sciJ,317401,317847,,uncharacterized protein SciJ
sciK,318101,318586,,Hcp1 family type VI secretion system effector SciK
B0X74_03015,318606,318761,,type VI secretion system protein
tae4,318891,319376,,type VI secretion system effector protein Tae4
tai4,319361,319744,,type VI secretion system immunity protein Tai4
sciK1,319887,320372,,Hcp1 family type VI secretion system effector
sciN,320439,320975,,type VI secretion system-associated lipoprotein
sciO,320979,322322,,type VI secretion system-associated protein
sciP,322319,323623,,type VI protein secretion system component protein
sciQ,323628,324401,,virulence associated protein SciQ
sciR,324604,325035,,shiga-like toxin A subunit SciR
sciS,325069,328914,,type VI protein secretion system virulence protein SciS
sciT,328914,329702,,type VI secretion system-associated protein SciT
sciU,329699,330115,,uncharacterized protein SciU
sciV,330142,330660,,uncharacterized protein SciV
B0X74_03085,330802,331011,,uncharacterized protein
vgrS,331057,333246,,type VI secretion protein Vgr
sciW,333270,333716,,uncharacterized protein SciW
rhs,333735,337829,,type IV secretion protein Rhs
rhsI,337823,338086,,putative RhsI immunity protein
rhs-orphan,338246,339019,,type IV secretion protein Rhs (orphan)
sciX,339013,339459,,putative RhsI (orphan) protein
B0X74_03120,340022,340459,,putative immunity protein (Imm26 family)
symE,340512,340787,c,putative toxic protein SymE
B0X74_03135,341285,341536,,uncharacterized protein
B0X74_03140,341638,341886,c,putative SymE toxin family protein
safA,343405,343905,,pilus assembly protein
safB,343989,344726,,pili assembly chaperone protein SafB
safC,344750,347260,,pilin outer membrane usher protein SafC
safD,347282,347752,,pilin structural protein SafD
ybeJ,348158,348979,,PgdA/CDA1 family peptidoglycan/xylan/chitin deacetylase
B0X74_03180,349059,349319,,PerC family transcriptional activator
sinR,349797,350741,,LysR family transcriptional regulator SinR
B0X74_03190,350858,351073,,uncharacterized protein
pagN,351077,351796,c,outer membrane protein PagN
stv,352127,352534,c,Spy/CpxP family protein
yafV,352905,353672,c,aliphatic amidase AmiE
fadE,353781,356225,c,acyl-CoA dehydrogenase FadE
gmhA,356465,357043,,D-sedoheptulose 7-phosphate isomerase
yafJ,357256,358023,,putative glutamine amidotransferase YafJ
yafK,357994,358734,c,"putative L,D-transpeptidase YafK"
dinB,359034,360038,,DNA polymerase IV
B0X74_03235,360257,361231,,release factor H-coupled RctB family protein
B0X74_27120,361228,361389,,release factor H-coupled RctB family protein
prfH,361386,362000,,peptide chain release factor H
pepD,362156,363613,c,aminoacyl-histidine dipeptidase
gpt,363862,364320,,xanthine phosphoribosyltransferase
frsA,364409,365653,,esterase FrsA
crl,365711,366112,,sigma factor-binding protein Crl
phoE,366163,367215,c,phosphoporin PhoE
proB,367498,368601,,glutamate 5-kinase
proA,368613,369863,,gamma-glutamyl-phosphate reductase
int,370220,371434,,integrase (phage P4-like)
B0X74_03295,371600,371815,c,uncharacterized protein
B0X74_03300,371863,372066,,"phage transcriptional regulator, AlpA family"
B0X74_03305,372066,372497,,uncharacterized protein
B0X74_03310,372510,373343,,antA/AntB antirepressor family protein
B0X74_03315,373336,373518,,DUF4222 domain-containing protein
B0X74_03320,373512,374540,,Ash family protein
B0X74_03325,374533,374727,,uncharacterized protein
B0X74_03330,374724,374987,,uncharacterized protein
B0X74_03335,374984,375205,,uncharacterized protein
B0X74_03340,375198,375800,,uncharacterized protein
B0X74_03345,375813,378164,,DNA primase
B0X74_03350,378341,378571,,uncharacterized protein
B0X74_03355,378561,379298,,uncharacterized protein
B0X74_03365,379440,379634,,uncharacterized protein
B0X74_03370,380079,381545,,phage DNA transfer protein
B0X74_03375,381545,383650,,phage DNA transfer protein
B0X74_03380,383669,384058,c,uncharacterized protein
B0X74_03385,384048,384317,,uncharacterized protein
B0X74_03390,384894,385856,,abortive infection bacteriophage resistance protein
B0X74_03395,385858,386313,c,uncharacterized protein
B0X74_03400,386466,386747,,PerC family transcriptional regulator
B0X74_03405,387045,387230,,uncharacterized protein
B0X74_03410,387351,387893,,Plasmid pRiA4b ORF-3-like family protein
B0X74_03415,387883,388245,c,uncharacterized protein
yoaC,390318,390641,,uncharacterized protein YoaC
B0X74_03435,390988,392220,,Major Facilitator Superfamily (MFS) transporter
leuC,392352,393773,,3-isopropylmalate dehydratase large subunit
leuD,393775,394401,,3-isopropylmalate dehydratase small subunit
B0X74_03450,394416,395294,,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase"
B0X74_03455,395294,396208,,hydrolase
B0X74_03460,396242,397207,,LysR family transcriptional regulator
B0X74_03465,398115,398513,,outer membrane protein
stbE,398560,399318,c,fimbrial assembly chaperone StbE
stbD,399284,400609,c,putative fimbrial usher protein StbD
stbC,400614,403175,c,fimbrial assembly protein
stbB,403159,403920,c,fimbrial chaperone protein StbB
stbA,403982,404518,c,fimbrial protein
B0X74_03495,404621,404836,c,uncharacterized protein
B0X74_03500,405182,405916,,putative DNA-binding protein
B0X74_03505,405889,406389,,uncharacterized protein
rtn,406689,408263,,cyclic diguanylate phosphodiesterase
B0X74_03515,408363,409106,,response regulator
B0X74_03520,409124,409567,,uncharacterized protein
B0X74_03525,409969,410493,,OmpX family outer membrane protein
B0X74_03530,410637,411278,,transcriptional regulator
B0X74_03535,411289,411513,,uncharacterized protein
B0X74_03540,411571,411930,,DUF4156 domain lipoprotein
mdsC,412000,413457,c,"multidrug efflux system, outer membrane factor lipoprotein of OprM/OprM family"
mdsB,413474,416641,c,multidrug efflux RND transporter permease subunit
mdsA,416638,417864,c,"RND family efflux transporter, MFP subunit"
copA,418141,420429,,copper-translocating P-type ATPase
cueR,420441,420905,,Cu(I)-responsive transcriptional regulator
copZ,420983,421177,,copper chaperone
B0X74_03575,421470,422723,,putative sialic acid transporter
mod,422912,424870,,type III restriction-modification system StyLTI enzyme mod
res,424883,427852,,type III restriction endonuclease subunit R
cbdA,428347,429750,,cytochrome ubiquinol oxidase subunit I
cbdB,429747,430757,,cytochrome d ubiquinol oxidase subunit II
B0X74_03600,430757,430888,,DUF2474 domain-containing protein
B0X74_03605,431094,432098,,AraC family transcriptional regulator
foxA,432262,434352,,TonB-dependent siderophore receptor
yahN,434393,435025,c,transporter
yahO,435257,435532,,DUF1471 domain protein
prpR,435668,437293,c,propionate catabolism operon regulatory protein PrpR
prpB,437558,438445,,methylisocitrate lyase
prpC,438568,439737,,2-methylcitrate synthase
prpD,439777,441228,,2-methylcitrate dehydratase
prpE,441269,443155,,propionate--CoA ligase
hemB,443259,444233,c,delta-aminolevulinic acid dehydratase
yaiT,444746,447682,,outer membrane autotransporter barrel domain-containing protein
yaiV,447768,448391,,transcriptional regulator
ampH,448436,449593,c,penicillin-binding protein
B0X74_03670,449639,449842,c,uncharacterized protein
sbmA,449940,451160,,peptide transporter
yaiW,451175,452269,,DUF1615 family outer membrane lipoprotein YaiW
yaiY,452307,452615,c,DUF2755 domain inner membrane protein YaiY
yaiZ,452883,453098,,DUF2754 domain protein YaiZ
ddlA,453124,454218,c,D-alanine--D-alanine ligase A (DdlA)
B0X74_03700,454296,455009,,extensin-like protein
mdtG,455178,456389,,MFS transporter / multidrug transporter subunit MdtG
iraP,456680,456946,,anti-RssB factor
psiF,457298,457618,,phosphate starvation-inducible protein PsiF
adrA,457710,458822,,diguanylate cyclase AdrA
proC,458837,459646,c,pyrroline-5-carboxylate reductase
yaiI,459786,460241,,DUF188 domain-containing protein
aroL,460426,460971,,shikimate kinase
yaiA,460998,461189,,uncharacterized protein YaiA
aroM,461440,462117,,AroM family protein
ppnP,462188,462472,,Pyrimidine/purine nucleoside phosphorylase
rdgC,462510,463421,c,recombination-associated protein RdgC
mak,463547,464455,,fructokinase
araJ,464477,465649,c,MFS transporter AraJ
sbcC,465822,468962,c,exonuclease subunit SbcC
sbcD,468959,470161,c,exonuclease sbcCD subunit D
phoB,470376,471065,,DNA-binding response regulator
phoR,471135,472430,,PAS domain-containing sensor histidine kinase PhoR
brnQ,472839,474158,,branched-chain amino acid transport system 2 carrier protein
proY,474233,475603,,proline-specific permease ProY
malZ,475765,477582,,alpha-glycosidase
ahpC,477654,478256,c,alkyl hydroperoxide reductase subunit C-like protein
acpH,478466,479047,c,acyl carrier protein (ACP) phosphodiesterase AcpH
queA,479141,480205,,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
tgt,480402,481529,,tRNA guanosine(34) transglycosylase Tgt
yajC,481552,481884,,preprotein translocase subunit YajC
secD,481912,483759,,preprotein translocase subunit SecD
secF,483770,484741,,protein-export membrane protein SecF
B0X74_03845,484889,485254,,putative enzyme related to lactoylglutathione lyase
B0X74_03850,485280,485972,,YafY family DNA-binding transcriptional regulator
yajD,486142,486489,,HNH endonuclease
B0X74_03860,486507,486734,,uncharacterized protein
ldrB,486927,487034,,small toxic polypeptide LdrA/LdrC
tsx,487118,487981,c,nucleoside-specific channel-forming protein Tsx
yajI,488281,488820,c,DUF3251 domain lipoprotein YajI
nrdR,488972,489421,,NrdR family transcriptional regulator
ribD,489425,490528,,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
ribH,490617,491087,,"6,7-dimethyl-8-ribityllumazine synthase"
nusB,491108,491527,,N utilization substance protein B
thiL,491606,492583,,thiamine-monophosphate kinase
pgpA,492561,493076,,phosphatidylglycerophosphatase A
yajO,493180,494154,c,oxidoreductase
dxs,494211,496073,c,1-deoxy-D-xylulose-5-phosphate synthase
ispA,496097,496996,c,"(2E,6E)-farnesyl diphosphate synthase"
xseB,496997,497239,c,exodeoxyribonuclease 7 small subunit
thiI,497449,498897,,tRNA 4-thiouridine(8) synthase ThiI
phnV,498941,499738,c,"2-aminoethylphosphonate ABC transport system, membrane component PhnV"
phnU,499741,500601,c,2-aminoethylphosphonate ABC transporter permeasesubunit
phnT,500604,501713,c,ABC transporter ATP-binding protein
phnS,501719,502732,c,2-aminoethylphosphonate ABC transporter substrate-binding protein
phnR,502930,503649,c,phosphonate utilization transcriptional regulator PhnR
phnW,503789,504892,,2-aminoethylphosphonate--pyruvate aminotransferase
phnX,504902,505711,,phosphonoacetaldehyde hydrolase
yajL,505808,506398,c,protein deglycase YajL
apbA,506361,507272,c,2-dehydropantoate 2-reductase
yajQ,507398,507889,,nucleotide-binding protein
yajR,507936,509300,c,MFS transporter
B0X74_03990,509837,511348,,tetratricopeptide (TPR) repeat family protein
B0X74_03995,511360,512853,,tetratricopeptide (TPR) repeat family protein
cyoE,512935,513825,c,protoheme IX farnesyltransferase
cyoD,513837,514166,c,cytochrome o ubiquinol oxidase subunit IV
cyoC,514166,514780,c,cytochrome o ubiquinol oxidase subunit III
cyoB,514770,516761,c,cytochrome ubiquinol oxidase subunit I
cyoA,516772,517728,c,cytochrome ubiquinol oxidase subunit II
ampG,518181,519656,c,AmpG family muropeptide MFS transporter
yajG,519700,520278,c,putative lipoprotein
B0X74_04035,520356,520541,,uncharacterized protein
bolA,520582,520899,,BolA family transcriptional regulator
tig,521246,522544,,trigger factor
clpP,522791,523414,,ATP-dependent Clp protease proteolytic subunit
clpX,523666,524937,,ATP-dependent Clp protease ATP-binding subunit ClpX
lon,525123,527477,,endopeptidase La
hupB,527686,527958,,DNA-binding protein HU-beta
cypD,528249,530120,,peptidylprolyl isomerase
ybaV,530270,530644,,putative competence-suppressing DNA-binding periplasmic protein
fadM,530748,531146,,long-chain acyl-CoA thioesterase FadM
queC,531252,531947,c,7-cyano-7-deazaguanine synthase QueC
ybaE,532012,533712,c,SgrR family transcriptional regulator
cof,533813,534631,,HMP-PP phosphatase
B0X74_04110,534818,535276,,IS200/IS605 family transposase
cysK,535392,536447,c,cysteine synthase
cutR,536560,537018,,regulator of cysteine detoxification DecR
mdlA,537059,538831,,multidrug ABC transporter permease/ATP-binding protein
mdlB,538824,540605,,multidrug ABC transporter permease/ATP-binding protein
B0X74_04135,540639,540821,,uncharacterized protein
glnK,540818,541156,,transcriptional regulator
